Job No.,Date,Location,Address,Method,Cost,Proof Type,Proof Ref,Payment Date,,,,
553082,06/09/2019,NW5 2AB,"Co-Op Group Limited,250-254 Kentish Town Road, Kentish Town, London,NW5 2AB",,£3.00,,,,£9.00,Sent off 10/09/2019,,
559834,09/09/2019,SM1 1AX,"Claires Accessories Uk Ltd,Unit 225 St Nicholas Way, Sutton,SM1 1AX",,£8.60,,,,£8.60,Sent off 16/09/2019,,
571136,16/09/2019,SM1 1AX,"Waterstones Booksellers Limited,70 St John's Rd, London,SW11 1PT",,£0.00,,,,,,,
584860,18/09/2019,SM1 1AX,"Co-Op Group Limited,130-138 Garratt Ln, London,SW18 4DJ",,£0.00,,,,,,,
557617,20/09/2019,SM1 1AX,"Savers Health and Beauty Limited,32 High St, Epsom,KT19 8AH",,£8.50,,,,£8.50,Sent off 22/09/2019,,
553280,23/09/2019,KT18 5NX,"Co-Op Group Limited,43-49 Tattenham Cres, Epsom,KT18 5NX",,£20.90,,,,,,,
571220,25/09/2019,SW1Y 6WW,"Waterstones Booksellers Limited,203-206 Piccadilly, St. James's, London,W1J 9HD",,£3.00,,,,£23.90,Sent off 30/09/2019,,
553280,23/09/2019,KT18 5NX,"Co-Op Group Limited,43-49 Tattenham Cres, Epsom,KT18 5NX",,£5.80,,,,,,,
574073,30/09/2019,SW1P 4RG,"Tate Enterprises Ltd,Tate Britain, Millbank, Westminster, London,SW1P 4RG",,£0.00,,,,,,,
573767,02/10/2019,NW6 4HJ,"Primark Stores Limited,54 - 56, High St, North Maida Vale, London,NW6 4HJ",,£3.00,,,,,,,
573769,03/10/2019,UB8 1LN,"Primark Stores Limited,The Pavilions, 18 Chequers Square, Uxbridge,UB8 1LN",,£5.80,,,,£14.60,Sent off 06/10/2019,,
